Economic State,Geographic,Country,Continent,Top20,TradeGroup
Emerging and Developing Economies,Middle East and Central Asia,Tunisia,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Turkmenistan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,United Arab Emirates,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Uzbekistan,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,West Bank and Gaza,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Peoples Democratic Republic of Yemen,Arab World,,
Emerging and Developing Economies,Middle East and Central Asia,Middle East and Central Asia not specified,Arab World,,
Emerging and Developing Economies,Sub-Saharan Africa,Angola,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Benin,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Botswana,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Burkina Faso,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Burundi,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Cape Verde,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Cameroon,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Central African Rep.,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Chad,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Comoros,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,"Congo, Democratic Republic",Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Congo,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Cote D Ivoire,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Equatorial Guinea,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,"Eritrea, The State of",Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,"Eswatini, Kingdom of",Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Ethiopia,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Gabon,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Gambia,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Ghana,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Guinea,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Guinea-Bissau,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Kenya,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,"Lesotho, Kingdom of",Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Liberia,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Madagascar,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Malawi,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Mali,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Mauritius,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Mozambique,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Namibia,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Niger,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Nigeria,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Rwanda,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Sao Tome & Principe,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Senegal,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Seychelles,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Sierra Leone,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,South Africa,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,"South Sudan, Rep. of",Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Tanzania,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Togo,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Uganda,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Zambia,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Zimbabwe,Africa,,
Emerging and Developing Economies,Sub-Saharan Africa,Africa not specified,Africa,,
Emerging and Developing Economies,Western Hemisphere,Anguilla,South America,,
Emerging and Developing Economies,Western Hemisphere,Antigua and Barbuda,South America,,
Emerging and Developing Economies,Western Hemisphere,Argentina,South America,,
Emerging and Developing Economies,Western Hemisphere,Aruba,South America,,
Emerging and Developing Economies,Western Hemisphere,Bahamas,South America,,
Emerging and Developing Economies,Western Hemisphere,Barbados,South America,,
Emerging and Developing Economies,Western Hemisphere,Belize,South America,,
Emerging and Developing Economies,Western Hemisphere,Bermuda,South America,,
Emerging and Developing Economies,Western Hemisphere,Bolivia,South America,,
Emerging and Developing Economies,Western Hemisphere,Brazil,South America,Top20,
Emerging and Developing Economies,Western Hemisphere,Chile,South America,,
Emerging and Developing Economies,Western Hemisphere,Colombia,South America,,
Emerging and Developing Economies,Western Hemisphere,Costa Rica,Latin America,,
Emerging and Developing Economies,Western Hemisphere,"Cura?ao, Kingdom of the Netherlands",Latin America,,
Emerging and Developing Economies,Western Hemisphere,Dominica,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Dominican Republic,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Ecuador,South America,,
Emerging and Developing Economies,Western Hemisphere,El Salvador,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Falkland Islands (Malvinas),Oceania,,
Emerging and Developing Economies,Western Hemisphere,Greenland,,,
Emerging and Developing Economies,Western Hemisphere,Grenada,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Guatemala,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Guyana,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Haiti,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Honduras,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Jamaica,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Mexico,North America,Top20,NAFTA
Emerging and Developing Economies,Western Hemisphere,Montserrat,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Netherlands Antilles,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Nicaragua,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Panama,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Paraguay,South America,,
Emerging and Developing Economies,Western Hemisphere,Peru,South America,,
Emerging and Developing Economies,Western Hemisphere,"Sint Maarten, Kingdom of the Netherlands",Latin America,,
Emerging and Developing Economies,Western Hemisphere,St. Kitts and Nevis,Latin America,,
Emerging and Developing Economies,Western Hemisphere,St. Lucia,Latin America,,
Emerging and Developing Economies,Western Hemisphere,St. Vincent & Grens.,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Suriname,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Trinidad and Tobago,Latin America,,
Emerging and Developing Economies,Western Hemisphere,Uruguay,South America,,
Emerging and Developing Economies,Western Hemisphere,Venezuela,South America,,
Emerging and Developing Economies,Western Hemisphere,Western Hemisphere not specified,,,
Other Countries not included elsewhere,,Cuba,Latin America,,
Other Countries not included elsewhere,,North Korea,,,
Special Categories,,Special Categories,,,
Countries & Areas not specified,,Countries & Areas not specified,,,
Memorandum Items,,Africa,Geo Group,,
Memorandum Items,,Middle East,Geo Group,,
Memorandum Items,,European Union,Geo Group,,
Memorandum Items,,Emerging Market and Developing Economies by Source of Export Earnings: Fuel,Econ Group,,
Memorandum Items,,Emerging Market and Developing Economies by Source of Export Earnings: Nonfuel,Econ Group,,
