Trading Partner,Total Trade ($M),RtW (%),Exports ($M),RtW (%).1,Imports ($M),RtW (%).2,Net Exports ($M),Exports Ticker,Imports Ticker,country,year
Denmark,1133.17,0.23,105.62,0.04,1027.55,0.43,-921.93,128D1193 Index,193D1128 Index,Australia,2014
Austria,1090.34,0.22,94.16,0.04,996.18,0.41,-902.02,122D1193 Index,193D1122 Index,Australia,2014
Gabon,1085.75,0.22,5.08,0.0,1080.67,0.45,-1075.59,646D1193 Index,193D1646 Index,Australia,2014
Qatar,1059.05,0.21,521.0,0.21,538.04,0.22,-17.04,453D1193 Index,193D1453 Index,Australia,2014
Poland,1051.79,0.21,321.54,0.13,730.25,0.3,-408.71,964D1193 Index,193D1964 Index,Australia,2014
Brunei Darussalam,1009.71,0.2,49.37,0.02,960.34,0.4,-910.98,516D1193 Index,193D1516 Index,Australia,2014
Bangladesh,979.36,0.2,446.43,0.18,532.93,0.22,-86.51,513D1193 Index,193D1513 Index,Australia,2014
Argentina,893.68,0.18,158.94,0.06,734.74,0.3,-575.79,213D1193 Index,193D1213 Index,Australia,2014
Bahrain,872.96,0.18,806.47,0.32,66.49,0.03,739.98,419D1193 Index,193D1419 Index,Australia,2014
Congo,840.65,0.17,3.01,0.0,837.63,0.35,-834.62,634D1193 Index,193D1634 Index,Australia,2014
Israel,827.03,0.17,124.7,0.05,702.33,0.29,-577.63,436D1193 Index,193D1436 Index,Australia,2014
Finland,787.99,0.16,56.58,0.02,731.41,0.3,-674.82,172D1193 Index,193D1172 Index,Australia,2014
Kuwait,746.11,0.15,651.78,0.26,94.33,0.04,557.45,443D1193 Index,193D1443 Index,Australia,2014
Czech Republic,684.87,0.14,99.71,0.04,585.15,0.24,-485.44,935D1193 Index,193D1935 Index,Australia,2014
Fiji,605.22,0.12,454.92,0.18,150.31,0.06,304.61,819D1193 Index,193D1819 Index,Australia,2014
Norway,569.49,0.12,146.96,0.06,422.53,0.18,-275.58,142D1193 Index,193D1142 Index,Australia,2014
Pakistan,538.69,0.11,336.5,0.13,202.19,0.08,134.32,564D1193 Index,193D1564 Index,Australia,2014
New Caledonia,489.19,0.1,296.27,0.12,192.92,0.08,103.35,839D1193 Index,193D1839 Index,Australia,2014
Hungary,477.76,0.1,24.21,0.01,453.55,0.19,-429.34,944D1193 Index,193D1944 Index,Australia,2014
Slovakia,418.73,0.08,37.03,0.01,381.7,0.16,-344.66,936D1193 Index,193D1936 Index,Australia,2014
Sri Lanka,410.16,0.08,237.36,0.09,172.8,0.07,64.56,524D1193 Index,193D1524 Index,Australia,2014
Peoples Democratic Republic of Yemen,384.51,0.08,384.21,0.15,0.3,0.0,383.9,474D1193 Index,193D1474 Index,Australia,2014
Egypt,369.4,0.07,332.57,0.13,36.83,0.02,295.74,469D1193 Index,193D1469 Index,Australia,2014
Oman,358.06,0.07,319.39,0.13,38.67,0.02,280.73,449D1193 Index,193D1449 Index,Australia,2014
Sudan,300.91,0.06,300.73,0.12,0.18,0.0,300.55,732D1193 Index,193D1732 Index,Australia,2014
Peru,273.5,0.06,140.17,0.06,133.33,0.06,6.84,293D1193 Index,193D1293 Index,Australia,2014
Iraq,268.97,0.05,268.52,0.11,0.45,0.0,268.07,433D1193 Index,193D1433 Index,Australia,2014
Jordan,223.74,0.05,198.8,0.08,24.94,0.01,173.86,439D1193 Index,193D1439 Index,Australia,2014
Greece,208.47,0.04,12.8,0.01,195.66,0.08,-182.86,174D1193 Index,193D1174 Index,Australia,2014
Ghana,198.46,0.04,68.33,0.03,130.13,0.05,-61.8,652D1193 Index,193D1652 Index,Australia,2014
Iran,188.95,0.04,157.2,0.06,31.75,0.01,125.46,429D1193 Index,193D1429 Index,Australia,2014
Solomon Islands,179.48,0.04,140.43,0.06,39.05,0.02,101.37,813D1193 Index,193D1813 Index,Australia,2014
Tanzania,173.24,0.04,141.81,0.06,31.43,0.01,110.38,738D1193 Index,193D1738 Index,Australia,2014
Ukraine,171.25,0.03,138.9,0.05,32.35,0.01,106.54,926D1193 Index,193D1926 Index,Australia,2014
Portugal,163.5,0.03,17.95,0.01,145.55,0.06,-127.61,182D1193 Index,193D1182 Index,Australia,2014
Mauritius,152.16,0.03,137.22,0.05,14.94,0.01,122.28,684D1193 Index,193D1684 Index,Australia,2014
Cambodia,145.0,0.03,30.98,0.01,114.03,0.05,-83.05,522D1193 Index,193D1522 Index,Australia,2014
Morocco,141.41,0.03,56.5,0.02,84.92,0.04,-28.42,686D1193 Index,193D1686 Index,Australia,2014
Romania,138.6,0.03,24.14,0.01,114.46,0.05,-90.32,968D1193 Index,193D1968 Index,Australia,2014
Costa Rica,137.24,0.03,7.82,0.0,129.43,0.05,-121.61,238D1193 Index,193D1238 Index,Australia,2014
Zambia,132.38,0.03,132.25,0.05,0.13,0.0,132.11,754D1193 Index,193D1754 Index,Australia,2014
Kenya,112.79,0.02,79.68,0.03,33.12,0.01,46.56,664D1193 Index,193D1664 Index,Australia,2014
Colombia,110.21,0.02,44.34,0.02,65.87,0.03,-21.53,233D1193 Index,193D1233 Index,Australia,2014
Myanmar,109.22,0.02,85.4,0.03,23.81,0.01,61.59,518D1193 Index,193D1518 Index,Australia,2014
Slovenia,104.08,0.02,1.57,0.0,102.52,0.04,-100.95,961D1193 Index,193D1961 Index,Australia,2014
Macau,104.04,0.02,87.67,0.03,16.36,0.01,71.31,546D1193 Index,193D1546 Index,Australia,2014
Vanuatu,89.6,0.02,87.75,0.03,1.85,0.0,85.9,846D1193 Index,193D1846 Index,Australia,2014
Kazakhstan,87.86,0.02,85.6,0.03,2.26,0.0,83.34,916D1193 Index,193D1916 Index,Australia,2014
Azerbaijan,86.48,0.02,4.61,0.0,81.87,0.03,-77.26,912D1193 Index,193D1912 Index,Australia,2014
Angola,81.13,0.02,21.95,0.01,59.18,0.02,-37.22,614D1193 Index,193D1614 Index,Australia,2014
Algeria,71.96,0.01,69.87,0.03,2.09,0.0,67.78,612D1193 Index,193D1612 Index,Australia,2014
Mozambique,65.85,0.01,64.86,0.03,0.99,0.0,63.86,688D1193 Index,193D1688 Index,Australia,2014
Lebanon,63.49,0.01,49.45,0.02,14.04,0.01,35.4,446D1193 Index,193D1446 Index,Australia,2014
Honduras,62.74,0.01,3.61,0.0,59.14,0.02,-55.53,268D1193 Index,193D1268 Index,Australia,2014
Samoa,57.85,0.01,30.68,0.01,27.16,0.01,3.52,862D1193 Index,193D1862 Index,Australia,2014
Bulgaria,55.77,0.01,10.41,0.0,45.36,0.02,-34.95,918D1193 Index,193D1918 Index,Australia,2014
Mali,50.47,0.01,29.41,0.01,21.06,0.01,8.35,678D1193 Index,193D1678 Index,Australia,2014
El Salvador,48.45,0.01,28.8,0.01,19.65,0.01,9.15,253D1193 Index,193D1253 Index,Australia,2014
Dominican Republic,43.98,0.01,14.45,0.01,29.53,0.01,-15.07,243D1193 Index,193D1243 Index,Australia,2014
Ethiopia,39.94,0.01,16.56,0.01,23.38,0.01,-6.82,644D1193 Index,193D1644 Index,Australia,2014
Estonia,38.24,0.01,4.52,0.0,33.72,0.01,-29.2,939D1193 Index,193D1939 Index,Australia,2014
Maldives,37.51,0.01,36.73,0.01,0.78,0.0,35.96,556D1193 Index,193D1556 Index,Australia,2014
Lithuania,36.08,0.01,3.63,0.0,32.45,0.01,-28.82,946D1193 Index,193D1946 Index,Australia,2014
Uruguay,35.7,0.01,10.27,0.0,25.43,0.01,-15.16,298D1193 Index,193D1298 Index,Australia,2014
Equatorial Guinea,35.04,0.01,1.02,0.0,34.01,0.01,-32.99,642D1193 Index,193D1642 Index,Australia,2014
Ecuador,34.82,0.01,14.16,0.01,20.66,0.01,-6.49,248D1193 Index,193D1248 Index,Australia,2014
Cyprus,34.21,0.01,14.79,0.01,19.42,0.01,-4.62,423D1193 Index,193D1423 Index,Australia,2014
Bolivia,34.17,0.01,6.71,0.0,27.46,0.01,-20.76,218D1193 Index,193D1218 Index,Australia,2014
Malta,33.99,0.01,13.58,0.01,20.4,0.01,-6.82,181D1193 Index,193D1181 Index,Australia,2014
Cote D Ivoire,33.73,0.01,13.86,0.01,19.88,0.01,-6.02,662D1193 Index,193D1662 Index,Australia,2014
Nepal,32.56,0.01,25.98,0.01,6.58,0.0,19.4,558D1193 Index,193D1558 Index,Australia,2014
Libya,28.07,0.01,28.0,0.01,0.07,0.0,27.93,672D1193 Index,193D1672 Index,Australia,2014
Tunisia,27.64,0.01,5.88,0.0,21.76,0.01,-15.88,744D1193 Index,193D1744 Index,Australia,2014
Croatia,26.03,0.01,3.37,0.0,22.66,0.01,-19.29,960D1193 Index,193D1960 Index,Australia,2014
Iceland,24.34,0.0,3.72,0.0,20.62,0.01,-16.9,176D1193 Index,193D1176 Index,Australia,2014
Guatemala,21.7,0.0,7.5,0.0,14.2,0.01,-6.69,258D1193 Index,193D1258 Index,Australia,2014
Madagascar,21.46,0.0,16.25,0.01,5.21,0.0,11.04,674D1193 Index,193D1674 Index,Australia,2014
Uganda,21.31,0.0,18.85,0.01,2.46,0.0,16.39,746D1193 Index,193D1746 Index,Australia,2014
Mauritania,21.25,0.0,21.24,0.01,0.02,0.0,21.22,682D1193 Index,193D1682 Index,Australia,2014
Luxembourg,18.82,0.0,1.26,0.0,17.56,0.01,-16.29,137D1193 Index,193D1137 Index,Australia,2014
Nicaragua,18.02,0.0,3.48,0.0,14.53,0.01,-11.05,278D1193 Index,193D1278 Index,Australia,2014
Latvia,17.62,0.0,1.23,0.0,16.39,0.01,-15.16,941D1193 Index,193D1941 Index,Australia,2014
Sierra Leone,17.23,0.0,15.49,0.01,1.74,0.0,13.75,724D1193 Index,193D1724 Index,Australia,2014
Serbia,17.06,0.0,5.63,0.0,11.44,0.0,-5.81,942D1193 Index,193D1942 Index,Australia,2014
Malawi,15.0,0.0,14.94,0.01,0.06,0.0,14.89,676D1193 Index,193D1676 Index,Australia,2014
Mongolia,14.95,0.0,14.66,0.01,0.29,0.0,14.37,948D1193 Index,193D1948 Index,Australia,2014
Liberia,14.29,0.0,13.92,0.01,0.37,0.0,13.56,668D1193 Index,193D1668 Index,Australia,2014
Cuba,13.55,0.0,5.11,0.0,8.44,0.0,-3.34,928D1193 Index,193D1928 Index,Australia,2014
Jamaica,13.16,0.0,11.66,0.0,1.5,0.0,10.17,343D1193 Index,193D1343 Index,Australia,2014
Tonga,13.07,0.0,11.76,0.0,1.31,0.0,10.45,866D1193 Index,193D1866 Index,Australia,2014
Guyana,12.73,0.0,12.34,0.0,0.39,0.0,11.95,336D1193 Index,193D1336 Index,Australia,2014
Venezuela,12.67,0.0,11.69,0.0,0.98,0.0,10.71,299D1193 Index,193D1299 Index,Australia,2014
"Congo, Democratic Republic",12.55,0.0,12.39,0.0,0.16,0.0,12.24,636D1193 Index,193D1636 Index,Australia,2014
Bosnia and Herzegovina,12.02,0.0,6.58,0.0,5.45,0.0,1.13,963D1193 Index,193D1963 Index,Australia,2014
Laos,11.27,0.0,8.89,0.0,2.38,0.0,6.51,544D1193 Index,193D1544 Index,Australia,2014
Panama,11.26,0.0,2.78,0.0,8.48,0.0,-5.71,283D1193 Index,193D1283 Index,Australia,2014
Belarus,10.71,0.0,7.56,0.0,3.14,0.0,4.42,913D1193 Index,193D1913 Index,Australia,2014
Bermuda,9.99,0.0,0.41,0.0,9.57,0.0,-9.16,319D1193 Index,193D1319 Index,Australia,2014
Afghanistan,9.35,0.0,6.98,0.0,2.37,0.0,4.61,512D1193 Index,193D1512 Index,Australia,2014
Armenia,9.3,0.0,9.04,0.0,0.25,0.0,8.79,911D1193 Index,193D1911 Index,Australia,2014
Guinea,9.25,0.0,9.1,0.0,0.15,0.0,8.96,656D1193 Index,193D1656 Index,Australia,2014
Senegal,9.07,0.0,8.66,0.0,0.4,0.0,8.26,722D1193 Index,193D1722 Index,Australia,2014
Togo,8.98,0.0,1.14,0.0,7.83,0.0,-6.69,742D1193 Index,193D1742 Index,Australia,2014
Zimbabwe,8.86,0.0,8.5,0.0,0.36,0.0,8.14,698D1193 Index,193D1698 Index,Australia,2014
Macedonia,8.65,0.0,2.26,0.0,6.39,0.0,-4.13,962D1193 Index,193D1962 Index,Australia,2014
Seychelles,8.49,0.0,5.39,0.0,3.1,0.0,2.29,718D1193 Index,193D1718 Index,Australia,2014
Burkina Faso,8.39,0.0,8.34,0.0,0.04,0.0,8.3,748D1193 Index,193D1748 Index,Australia,2014
Barbados,8.3,0.0,6.23,0.0,2.07,0.0,4.15,316D1193 Index,193D1316 Index,Australia,2014
Bahamas,7.76,0.0,2.49,0.0,5.27,0.0,-2.78,313D1193 Index,193D1313 Index,Australia,2014
Georgia,6.6,0.0,0.97,0.0,5.62,0.0,-4.65,915D1193 Index,193D1915 Index,Australia,2014
Cameroon,5.85,0.0,5.22,0.0,0.64,0.0,4.58,622D1193 Index,193D1622 Index,Australia,2014
Kyrgyzstan,5.1,0.0,4.86,0.0,0.24,0.0,4.62,917D1193 Index,193D1917 Index,Australia,2014
Syria,4.19,0.0,3.37,0.0,0.82,0.0,2.55,463D1193 Index,193D1463 Index,Australia,2014
Niger,4.04,0.0,1.83,0.0,2.21,0.0,-0.38,692D1193 Index,193D1692 Index,Australia,2014
Uzbekistan,3.49,0.0,1.75,0.0,1.74,0.0,0.01,927D1193 Index,193D1927 Index,Australia,2014
Rwanda,3.42,0.0,2.49,0.0,0.93,0.0,1.57,714D1193 Index,193D1714 Index,Australia,2014
Benin,3.41,0.0,3.24,0.0,0.17,0.0,3.06,638D1193 Index,193D1638 Index,Australia,2014
Paraguay,3.25,0.0,1.16,0.0,2.09,0.0,-0.93,288D1193 Index,193D1288 Index,Australia,2014
Albania,3.03,0.0,2.21,0.0,0.82,0.0,1.38,914D1193 Index,193D1914 Index,Australia,2014
Belize,2.78,0.0,0.55,0.0,2.23,0.0,-1.68,339D1193 Index,193D1339 Index,Australia,2014
Tajikistan,2.65,0.0,2.65,0.0,0.0,0.0,2.65,923D1193 Index,193D1923 Index,Australia,2014
Moldova,2.14,0.0,0.78,0.0,1.35,0.0,-0.57,921D1193 Index,193D1921 Index,Australia,2014
Chad,2.02,0.0,1.91,0.0,0.11,0.0,1.81,628D1193 Index,193D1628 Index,Australia,2014
Suriname,2.01,0.0,1.84,0.0,0.17,0.0,1.67,366D1193 Index,193D1366 Index,Australia,2014
Turkmenistan,1.67,0.0,1.25,0.0,0.43,0.0,0.82,925D1193 Index,193D1925 Index,Australia,2014
Burundi,1.62,0.0,1.28,0.0,0.33,0.0,0.95,618D1193 Index,193D1618 Index,Australia,2014
St. Lucia,1.42,0.0,1.35,0.0,0.06,0.0,1.29,362D1193 Index,193D1362 Index,Australia,2014
Haiti,1.34,0.0,0.03,0.0,1.31,0.0,-1.27,263D1193 Index,193D1263 Index,Australia,2014
Central African Rep.,0.99,0.0,0.99,0.0,0.0,0.0,0.99,626D1193 Index,193D1626 Index,Australia,2014
Netherlands Antilles,0.88,0.0,0.32,0.0,0.56,0.0,-0.24,353D1193 Index,193D1353 Index,Australia,2014
Montenegro,0.62,0.0,0.27,0.0,0.36,0.0,-0.09,943D1193 Index,193D1943 Index,Australia,2014
Faeroe Islands,0.62,0.0,0.62,0.0,0.0,0.0,0.62,816D1193 Index,193D1816 Index,Australia,2014
Comoros,0.6,0.0,0.29,0.0,0.31,0.0,-0.02,632D1193 Index,193D1632 Index,Australia,2014
Djibouti,0.48,0.0,0.14,0.0,0.34,0.0,-0.2,611D1193 Index,193D1611 Index,Australia,2014
Dominica,0.44,0.0,0.15,0.0,0.29,0.0,-0.14,321D1193 Index,193D1321 Index,Australia,2014
Greenland,0.29,0.0,0.29,0.0,0.0,0.0,0.29,326D1193 Index,193D1326 Index,Australia,2014
Aruba,0.26,0.0,0.26,0.0,0.0,0.0,0.26,314D1193 Index,193D1314 Index,Australia,2014
Somalia,0.26,0.0,0.2,0.0,0.06,0.0,0.14,726D1193 Index,193D1726 Index,Australia,2014
Gambia,0.22,0.0,0.02,0.0,0.21,0.0,-0.19,648D1193 Index,193D1648 Index,Australia,2014
Sao Tome & Principe,0.18,0.0,0.0,0.0,0.18,0.0,-0.17,716D1193 Index,193D1716 Index,Australia,2014
Cape Verde,0.15,0.0,0.01,0.0,0.14,0.0,-0.13,624D1193 Index,193D1624 Index,Australia,2014
Grenada,0.09,0.0,0.03,0.0,0.07,0.0,-0.04,328D1193 Index,193D1328 Index,Australia,2014
St. Vincent & Grens.,0.05,0.0,0.05,0.0,0.0,0.0,0.05,364I1193 Index,193D1364 Index,Australia,2014
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654D1193 Index,193D1654 Index,Australia,2014
North Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,954D1193 Index,193D1954 Index,Australia,2014
China,114171.5,27.57,65141.4,32.38,49030.1,23.02,16111.3,924D1193 Index,193D1924 Index,Australia,2015
Japan,50519.1,12.2,34817.4,17.3,15701.7,7.37,19115.7,158D1193 Index,193D1158 Index,Australia,2015
European Union,38500.36,9.3,7577.26,3.77,30923.1,14.52,-23345.84,998D1193 Index,193D1998 Index,Australia,2015
United States,34795.3,8.4,10862.2,5.4,23933.1,11.24,-13070.9,111D1193 Index,193D1111 Index,Australia,2015
South Korea,28090.0,6.78,16437.8,8.17,11652.2,5.47,4785.6,542D1193 Index,193D1542 Index,Australia,2015
Thailand,14980.88,3.62,4198.28,2.09,10782.6,5.06,-6584.32,578D1193 Index,193D1578 Index,Australia,2015
India,13264.04,3.2,9467.95,4.71,3796.09,1.78,5671.86,534D1193 Index,193D1534 Index,Australia,2015
Malaysia,12375.17,2.99,4501.11,2.24,7874.06,3.7,-3372.95,548D1193 Index,193D1548 Index,Australia,2015
Germany,11259.26,2.72,1439.22,0.72,9820.04,4.61,-8380.82,134D1193 Index,193D1134 Index,Australia,2015
Singapore,10642.07,2.57,3231.67,1.61,7410.4,3.48,-4178.73,576D1193 Index,193D1576 Index,Australia,2015
New Zealand,10387.22,2.51,4331.37,2.15,6055.85,2.84,-1724.48,196D1193 Index,193D1196 Index,Australia,2015
Indonesia,9312.84,2.25,4815.79,2.39,4497.05,2.11,318.74,536D1193 Index,193D1536 Index,Australia,2015
United Kingdom,8683.98,2.1,3037.0,1.51,5646.98,2.65,-2609.98,112D1193 Index,193D1112 Index,Australia,2015
Hong Kong,5836.03,1.41,4862.88,2.42,973.15,0.46,3889.73,532D1193 Index,193D1532 Index,Australia,2015
Vietnam,5597.87,1.35,2021.98,1.0,3575.89,1.68,-1553.91,582D1193 Index,193D1582 Index,Australia,2015
Italy,5173.66,1.25,559.19,0.28,4614.47,2.17,-4055.28,136D1193 Index,193D1136 Index,Australia,2015
France,4331.92,1.05,862.56,0.43,3469.36,1.63,-2606.8,132D1193 Index,193D1132 Index,Australia,2015
United Arab Emirates,4124.55,1.0,2168.7,1.08,1955.85,0.92,212.85,466D1193 Index,193D1466 Index,Australia,2015
Papua New Guinea,3817.71,0.92,1438.24,0.71,2379.47,1.12,-941.23,853D1193 Index,193D1853 Index,Australia,2015
Netherlands,3343.09,0.81,1651.05,0.82,1692.04,0.79,-40.99,138D1193 Index,193D1138 Index,Australia,2015
Canada,3168.8,0.77,1393.84,0.69,1774.96,0.83,-381.12,156D1193 Index,193D1156 Index,Australia,2015
Switzerland,3103.61,0.75,535.8,0.27,2567.81,1.21,-2032.01,146D1193 Index,193D1146 Index,Australia,2015
Mexico,2595.87,0.63,634.74,0.32,1961.13,0.92,-1326.39,273D1193 Index,193D1273 Index,Australia,2015
Belgium,2505.78,0.61,1188.63,0.59,1317.15,0.62,-128.52,124D1193 Index,193D1124 Index,Australia,2015
Saudi Arabia,2254.87,0.54,1909.05,0.95,345.82,0.16,1563.23,456D1193 Index,193D1456 Index,Australia,2015
Spain,2141.06,0.52,510.55,0.25,1630.51,0.77,-1119.96,184D1193 Index,193D1184 Index,Australia,2015
South Africa,1974.45,0.48,1032.47,0.51,941.98,0.44,90.49,199D1193 Index,193D1199 Index,Australia,2015
Sweden,1806.7,0.44,262.84,0.13,1543.86,0.72,-1281.02,144D1193 Index,193D1144 Index,Australia,2015
Ireland,1734.83,0.42,79.74,0.04,1655.09,0.78,-1575.35,178D1193 Index,193D1178 Index,Australia,2015
Brazil,1628.73,0.39,1116.05,0.55,512.68,0.24,603.37,223D1193 Index,193D1223 Index,Australia,2015
Philippines,1443.87,0.35,853.22,0.42,590.65,0.28,262.57,566D1193 Index,193D1566 Index,Australia,2015
Turkey,1204.56,0.29,550.69,0.27,653.87,0.31,-103.18,186D1193 Index,193D1186 Index,Australia,2015
Bangladesh,1195.44,0.29,521.08,0.26,674.36,0.32,-153.27,513D1193 Index,193D1513 Index,Australia,2015
Qatar,1076.17,0.26,633.2,0.31,442.97,0.21,190.22,453D1193 Index,193D1453 Index,Australia,2015
Denmark,1026.22,0.25,131.17,0.07,895.05,0.42,-763.88,128D1193 Index,193D1128 Index,Australia,2015
Chile,983.83,0.24,270.31,0.13,713.53,0.34,-443.22,228D1193 Index,193D1228 Index,Australia,2015
Austria,962.46,0.23,67.65,0.03,894.81,0.42,-827.16,122D1193 Index,193D1122 Index,Australia,2015
Argentina,924.21,0.22,267.97,0.13,656.24,0.31,-388.26,213D1193 Index,193D1213 Index,Australia,2015
Poland,894.83,0.22,286.65,0.14,608.18,0.29,-321.52,964D1193 Index,193D1964 Index,Australia,2015
Bahrain,860.32,0.21,788.21,0.39,72.11,0.03,716.1,419D1193 Index,193D1419 Index,Australia,2015
Russia,853.71,0.21,581.84,0.29,271.87,0.13,309.97,922D1193 Index,193D1922 Index,Australia,2015
Israel,792.74,0.19,158.3,0.08,634.44,0.3,-476.14,436D1193 Index,193D1436 Index,Australia,2015
Pakistan,759.37,0.18,537.59,0.27,221.78,0.1,315.81,564D1193 Index,193D1564 Index,Australia,2015
Czech Republic,740.78,0.18,74.99,0.04,665.79,0.31,-590.8,935D1193 Index,193D1935 Index,Australia,2015
Finland,661.88,0.16,85.32,0.04,576.56,0.27,-491.24,172D1193 Index,193D1172 Index,Australia,2015
Gabon,484.13,0.12,3.5,0.0,480.64,0.23,-477.14,646D1193 Index,193D1646 Index,Australia,2015
Hungary,471.57,0.11,37.74,0.02,433.83,0.2,-396.09,944D1193 Index,193D1944 Index,Australia,2015
Fiji,468.42,0.11,320.24,0.16,148.18,0.07,172.06,819D1193 Index,193D1819 Index,Australia,2015
Sri Lanka,438.71,0.11,269.83,0.13,168.88,0.08,100.95,524D1193 Index,193D1524 Index,Australia,2015
Cape Verde,430.25,0.1,0.0,0.0,430.24,0.2,-430.24,624D1193 Index,193D1624 Index,Australia,2015
Slovakia,413.41,0.1,51.2,0.03,362.21,0.17,-311.0,936D1193 Index,193D1936 Index,Australia,2015
Norway,389.31,0.09,100.09,0.05,289.22,0.14,-189.13,142D1193 Index,193D1142 Index,Australia,2015
Egypt,387.8,0.09,360.76,0.18,27.04,0.01,333.71,469D1193 Index,193D1469 Index,Australia,2015
Brunei Darussalam,364.01,0.09,48.27,0.02,315.74,0.15,-267.47,516D1193 Index,193D1516 Index,Australia,2015
Oman,312.4,0.08,248.34,0.12,64.06,0.03,184.28,449D1193 Index,193D1449 Index,Australia,2015
Sudan,291.85,0.07,88.86,0.04,202.99,0.1,-114.13,732D1193 Index,193D1732 Index,Australia,2015
New Caledonia,263.26,0.06,144.6,0.07,118.66,0.06,25.95,839D1193 Index,193D1839 Index,Australia,2015
